timestamp,source_ip,username,success,payload_size,true_label
1789368738.4078834,10.0.0.15,priya.sharma,1,85,NORMAL
1789368820.0494182,10.0.0.15,priya.sharma,1,85,NORMAL
1789368915.6373758,10.0.0.15,priya.sharma,1,85,NORMAL
1789368939.0565057,10.0.0.15,priya.sharma,1,85,NORMAL
1789368995.4802883,10.0.0.15,priya.sharma,1,85,NORMAL
1789369074.000445,10.0.0.15,priya.sharma,1,84,NORMAL
1789369149.0205681,10.0.0.15,priya.sharma,1,85,NORMAL
1789369265.616635,10.0.0.15,priya.sharma,0,85,NORMAL
1789369272.2004786,10.0.0.15,priya.sharma,1,85,NORMAL
1789369323.3115776,10.0.0.15,priya.sharma,1,85,NORMAL
1789369387.7555404,10.0.0.15,priya.sharma,1,85,NORMAL
1789369487.790262,10.0.0.15,priya.sharma,1,84,NORMAL
1789369501.8845713,10.0.0.15,priya.sharma,1,85,NORMAL
1789369617.1944544,10.0.0.15,priya.sharma,1,85,NORMAL
1789369684.0549324,10.0.0.15,priya.sharma,1,85,NORMAL
1789369791.0853975,10.0.0.15,priya.sharma,1,85,NORMAL
1789369811.411431,10.0.0.15,priya.sharma,1,84,NORMAL
1789369919.577212,10.0.0.15,priya.sharma,1,84,NORMAL
1789369967.1163578,10.0.0.15,priya.sharma,1,85,NORMAL
1789369996.6507237,10.0.0.15,priya.sharma,1,85,NORMAL
1789370108.4450727,10.0.0.15,priya.sharma,1,85,NORMAL
1789370125.6235807,10.0.0.15,priya.sharma,1,85,NORMAL
1789370217.2745492,10.0.0.15,priya.sharma,1,85,NORMAL
1789370281.1799047,10.0.0.15,priya.sharma,1,85,NORMAL
1789370340.6941361,10.0.0.15,priya.sharma,1,85,NORMAL
1789370371.950915,10.0.0.15,priya.sharma,1,84,NORMAL
1789370407.7659206,10.0.0.15,priya.sharma,1,85,NORMAL
1789370478.4141815,10.0.0.15,priya.sharma,1,85,NORMAL
1789370545.2007673,10.0.0.15,priya.sharma,1,85,NORMAL
1789370597.3388586,10.0.0.15,priya.sharma,1,85,NORMAL
1789370682.4539638,10.0.0.15,priya.sharma,1,85,NORMAL
1789370743.7209966,10.0.0.15,priya.sharma,1,85,NORMAL
1789370838.1174374,10.0.0.15,priya.sharma,1,85,NORMAL
1789370866.937624,10.0.0.15,priya.sharma,1,84,NORMAL
1789370966.3323362,10.0.0.15,priya.sharma,1,85,NORMAL
1789371051.8676426,10.0.0.15,priya.sharma,1,85,NORMAL
1789371155.9596925,10.0.0.15,priya.sharma,0,86,NORMAL
1789371255.6105752,10.0.0.15,priya.sharma,1,85,NORMAL
1789371275.1774418,10.0.0.15,priya.sharma,1,85,NORMAL
1789371294.1870155,10.0.0.15,priya.sharma,0,86,NORMAL
1789371352.7097588,10.0.0.15,priya.sharma,1,85,NORMAL
1789371407.2675087,10.0.0.15,priya.sharma,1,85,NORMAL
1789371486.3526196,10.0.0.15,priya.sharma,1,85,NORMAL
1789371539.7235625,10.0.0.15,priya.sharma,1,85,NORMAL
1789371650.8835034,10.0.0.15,priya.sharma,1,85,NORMAL
1789371665.3322124,10.0.0.15,priya.sharma,1,85,NORMAL
1789371723.4985025,10.0.0.15,priya.sharma,1,85,NORMAL
1789371823.4715211,10.0.0.15,priya.sharma,1,85,NORMAL
1789371834.104607,10.0.0.15,priya.sharma,1,84,NORMAL
1789371947.6722455,10.0.0.15,priya.sharma,1,85,NORMAL
1789372062.9000378,10.0.0.15,priya.sharma,1,85,NORMAL
1789372069.7321842,10.0.0.15,priya.sharma,1,85,NORMAL
1789372110.6935458,10.0.0.15,priya.sharma,1,85,NORMAL
1789372146.569699,10.0.0.15,priya.sharma,1,84,NORMAL
1789372230.4564219,10.0.0.15,priya.sharma,1,85,NORMAL
1789372315.7482445,10.0.0.15,priya.sharma,1,85,NORMAL
1789372429.398267,10.0.0.15,priya.sharma,1,84,NORMAL
1789372512.3465269,10.0.0.15,priya.sharma,1,85,NORMAL
1789372576.034119,10.0.0.15,priya.sharma,1,84,NORMAL
1789372582.124784,10.0.0.15,priya.sharma,1,84,NORMAL
1789372589.287939,10.0.0.15,priya.sharma,1,84,NORMAL
1789372651.597529,10.0.0.15,priya.sharma,0,85,NORMAL
1789372765.064377,10.0.0.15,priya.sharma,1,84,NORMAL
1789372861.6236353,10.0.0.15,priya.sharma,1,85,NORMAL
1789372952.1943145,10.0.0.15,priya.sharma,0,86,NORMAL
1789372974.705538,10.0.0.15,priya.sharma,1,84,NORMAL
1789373080.985343,10.0.0.15,priya.sharma,1,84,NORMAL
1789373139.7986374,10.0.0.15,priya.sharma,0,86,NORMAL
1789373240.6404426,10.0.0.15,priya.sharma,1,85,NORMAL
1789373351.8743951,10.0.0.15,priya.sharma,1,85,NORMAL
1789373376.0926151,10.0.0.15,priya.sharma,1,85,NORMAL
1789373403.4921803,10.0.0.15,priya.sharma,1,85,NORMAL
1789373428.7988057,10.0.0.15,priya.sharma,0,86,NORMAL
1789373487.006045,10.0.0.15,priya.sharma,1,84,NORMAL
1789373587.312736,10.0.0.15,priya.sharma,1,84,NORMAL
1789373704.0692904,10.0.0.15,priya.sharma,1,85,NORMAL
1789373737.6838865,10.0.0.15,priya.sharma,1,85,NORMAL
1789373773.545489,10.0.0.15,priya.sharma,0,85,NORMAL
1789373882.5529215,10.0.0.15,priya.sharma,1,85,NORMAL
1789373976.7114606,10.0.0.15,priya.sharma,1,85,NORMAL
1789374065.153715,10.0.0.15,priya.sharma,1,84,NORMAL
1789374130.5984564,10.0.0.15,priya.sharma,1,85,NORMAL
1789374135.6372638,10.0.0.15,priya.sharma,1,85,NORMAL
1789374194.324398,10.0.0.15,priya.sharma,1,84,NORMAL
1789374222.5388153,10.0.0.15,priya.sharma,1,85,NORMAL
